date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot,real_estate_value,district_translated,latitude,longitude
2022-03-13,Al Daayen,Jeryan Jenaihat,Residence,560,348.384,2100000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2022-03-13,Al Wakrah,Al Wakrah,Residential Building,747,508.289,4087000,Al Wakrah,,
2022-03-13,Al Wakrah,Al Wakrah,Residence,467,714.174,3590000,Al Wakrah,,
2022-03-13,Al Rayyan,Al Luqta,Residence,2089,400.249,9000000,Al Luqta,24.928100723590358,51.08167176463156
2022-03-13,Al Rayyan,Muaither,Residence,644,497.691,3450000,Muaither,24.928100723590358,51.08167176463156
2022-03-13,Al Shamal,Aba Al Dalouf,Vacant Land,600,193.546,1250000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2022-03-13,Al Shamal,Madinat Al Kaaban,Residence,1314,240.386,3400000,Madinat Al Kaaban,25.995427919236633,51.2017975520098
2022-03-13,Al Daayen,Al Kheesa,Vacant Land,1088,371.438,4350000,Al Kheesa,25.506442965229745,51.466419091145966
2022-03-13,Al Daayen,Jeryan Jenaihat,Vacant Land,4750,279.685,14300000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2022-03-10,Umm Salal,Umm Al Amad,Residence,560,331.794,2000000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-03-10,Al Daayen,Jeryan Jenaihat,Vacant Land,570,334.937,2055000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2022-03-10,Doha,Madinat Khalifa South,Commercial Building,592,2165.627,13800000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2022-03-10,Al Rayyan,Muaither,Vacant Land,702,245.006,1851345,Muaither,24.928100723590358,51.08167176463156
2022-03-10,Al Rayyan,Muaither,Residence,615,498.5,3300000,Muaither,24.928100723590358,51.08167176463156
2022-03-10,Al Shamal,Al Ruwais,Residence,619,195.11,1300000,Al Ruwais,25.995427919236633,51.2017975520098
2022-03-10,Al Shamal,Al Ruwais,Residence,615,302.121,2000000,Al Ruwais,25.995427919236633,51.2017975520098
2022-03-10,Umm Salal,Umm Slal Ali,Residence,431,409.546,1900000,Umm Slal Ali,25.468814293441394,51.34446945529472
2022-03-10,Al Khor,Al Khor,Vacant Land,520,178.658,1000000,Al Khor,,
2022-03-10,Doha,Fereej Bin Derhem,Residential Building,49,1423.198,750646,Fereej Bin Derhem,25.277967458892473,51.52339248614074
2022-03-10,Al Daayen,Al Ebb,Residence,1262,426.968,5800000,Al Ebb,25.506442965229745,51.466419091145966
2022-03-10,Al Daayen,Umm Qarn,Residence,466,410.684,2060000,Umm Qarn,25.506442965229745,51.466419091145966
2022-03-09,Doha,Umm Al Senaim,Residence,1062,437.393,5000000,Umm Al Senaim,25.277967458892473,51.52339248614074
2022-03-09,Doha,Madinat Khalifa South,Residence,877,432.065,4078703,Madinat Khalifa South,25.277967458892473,51.52339248614074
2022-03-09,Doha,Najma,Residential Building,924,1206.523,12000000,Najma,25.277967458892473,51.52339248614074
2022-03-09,Al Rayyan,Muaither 55,Residence,517,610.963,3400000,Muaither,24.928100723590358,51.08167176463156
2022-03-09,Al Daayen,Umm Qarn,Residence,406,411.882,1800000,Umm Qarn,25.506442965229745,51.466419091145966
2022-03-09,Al Wakrah,Al Mashaf,Residence,586,317.073,2000000,Al Mashaf,,
2022-03-09,Al Wakrah,Al Wakrah,Residence,628,369.834,2500000,Al Wakrah,,
2022-03-09,Al Wakrah,Al Wakrah,Vacant Land,1001,194.9,2100000,Al Wakrah,,
2022-03-09,Al Khor,Al Khor,Vacant Land,700,238.892,1800000,Al Khor,,
2022-03-09,Doha,Onaiza,Vacant Land,1050,398.153,4500000,Onaiza,25.277967458892473,51.52339248614074
2022-03-09,Doha,Najma,Residential Building,408,1168.024,5127692,Najma,25.277967458892473,51.52339248614074
2022-03-09,Al Rayyan,Muaither,Residence,598,327.062,2105256,Muaither,24.928100723590358,51.08167176463156
2022-03-09,Al Shamal,Al Ruwais,Vacant Land,673,164.96,1195000,Al Ruwais,25.995427919236633,51.2017975520098
2022-03-09,Al Sheehaniya,Rawdat Rashed,Residence,869,235.196,2200000,Rawdat Rashed,25.40577484497763,51.03236031637194
2022-03-09,Al Daayen,Umm Qarn,Residence,524,354.589,2000000,Umm Qarn,25.506442965229745,51.466419091145966
2022-03-09,Al Wakrah,Al Wakrah,Vacant Land,1000,278.707,3000000,Al Wakrah,,
2022-03-09,Umm Salal,Umm Al Amad,Vacant Land,543,239.869,1402000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-03-09,Al Khor,Al Khor,Vacant Land,567,154.004,939915,Al Khor,,
2022-03-09,Al Daayen,Umm Qarn,Residence,392,580.639,2450000,Umm Qarn,25.506442965229745,51.466419091145966
2022-03-08,Umm Salal,Umm Slal Muhammed,Residence,683,557.686,4100000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2022-03-08,Doha,Al Thumama,Vacant Land,450,412.899,2000000,Al Thumama,25.277967458892473,51.52339248614074
2022-03-08,Doha,Duhail,Vacant Land,450,412.899,2000000,Duhail,25.277967458892473,51.52339248614074
2022-03-08,Al Khor,Leghwairiya,Vacant Land,753,129.481,1050000,Leghwairiya,,
2022-03-08,Doha,Umm Ghuwailina,Vacant Land,424,1051.724,4800000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2022-03-08,Doha,Duhail,Vacant Land,378,400.01,1629320,Duhail,25.277967458892473,51.52339248614074
2022-03-08,Al Rayyan,Bu Hamour,Residence,900,443.866,4300000,Bu Hamour,24.928100723590358,51.08167176463156
2022-03-08,Al Rayyan,Fereej Al Murrah,Residence,632,338.094,2300000,Fereej Al Murrah,24.928100723590358,51.08167176463156
2022-03-08,Al Daayen,Al Sakhama,Residence,520,321.585,1800000,Al Sakhama,25.506442965229745,51.466419091145966
2022-03-08,Al Wakrah,Al Wakrah,Residence,480,193.546,1000000,Al Wakrah,,
2022-03-08,Al Khor,Al Khor,Residence,620,322.161,2150000,Al Khor,,
2022-03-08,Doha,Al Sadd,Vacant Land,361,1383.333,5371640,Al Sadd,25.277967458892473,51.52339248614074
2022-03-08,Al Rayyan,Muaither,Vacant Land,615,287.015,1900000,Muaither,24.928100723590358,51.08167176463156
2022-03-08,Al Rayyan,Muaither,Residence,493,362.063,1921341,Muaither,24.928100723590358,51.08167176463156
2022-03-08,Al Rayyan,Muaither 53,Vacant Land,438,210.005,990098,Muaither,24.928100723590358,51.08167176463156
2022-03-08,Al Rayyan,Muaither 54,Vacant Land,438,210.005,990098,Muaither,24.928100723590358,51.08167176463156
2022-03-08,Al Shamal,Madinat Al Shamal,Residence,591,232.559,1479711,Madinat Al Shamal,25.995427919236633,51.2017975520098
2022-03-08,Al Wakrah,Al Wakrah,Vacant Land,532,340.525,1950000,Al Wakrah,,
2022-03-07,Doha,Old Airport,Vacant Land,531,315.008,1800485,Old Airport,25.277967458892473,51.52339248614074
2022-03-07,Doha,Dahl Al Hamam,Residence,628,399.421,2700000,Dahl Al Hamam,25.277967458892473,51.52339248614074
2022-03-07,Al Rayyan,Gharrafat Al Rayyan,Residence,841,397.064,3594431,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2022-03-07,Al Rayyan,Muraikh,Residence,639,311.588,2143162,Muraikh,24.928100723590358,51.08167176463156
2022-03-07,Al Shamal,Aba Al Dalouf,Vacant Land,540,116.988,680000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2022-03-07,Al Daayen,Umm Qarn,Residence,376,469.453,1900000,Umm Qarn,25.506442965229745,51.466419091145966
2022-03-07,Al Shamal,Aba Al Dalouf,Vacant Land,2000,167.224,3600000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2022-03-07,Al Daayen,Al Ebb,Residence,613,909.321,6000000,Al Ebb,25.506442965229745,51.466419091145966
2022-03-07,Al Daayen,Al Ebb,Residence,600,975.474,6300000,Al Ebb,25.506442965229745,51.466419091145966
2022-03-07,Doha,Al Dafna,Residence,1225,500.535,6600000,Al Dafna,25.277967458892473,51.52339248614074
2022-03-07,Al Daayen,Simaisma,Residence,647,430.768,3000000,Simaisma,25.506442965229745,51.466419091145966
2022-03-07,Al Wakrah,Al Mashaf,Residence,599,341.21,2200000,Al Mashaf,,
2022-03-06,Al Rayyan,Al Waab,Residential Building,1820,1099.973,21549000,Al Waab,24.928100723590358,51.08167176463156
2022-03-06,Al Rayyan,Ain Khalid,Residence,600,487.737,3150000,Ain Khalid,24.928100723590358,51.08167176463156
2022-03-06,Al Daayen,Al Ebb,Residence,584,811.304,5100000,Al Ebb,25.506442965229745,51.466419091145966
2022-03-06,Al Khor,Al Khor,Vacant Land,520,155.433,870000,Al Khor,,
2022-03-06,Doha,Umm Ghuwailina,Residential Building,397,2447.752,10460000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2022-03-06,Al Rayyan,Muaither,Residence,321,362.333,125000,Muaither,24.928100723590358,51.08167176463156
2022-03-06,Al Daayen,Al Kheesa,Residence,585,460.541,2900000,Al Kheesa,25.506442965229745,51.466419091145966
2022-03-06,Doha,Umm Ghuwailina,Residence,186,630.0,1261326,Umm Ghuwailina,25.277967458892473,51.52339248614074
2022-03-06,Al Rayyan,Muaither,Residence,685,542.495,4000000,Muaither,24.928100723590358,51.08167176463156
2022-03-03,Umm Salal,Umm Ebairiya,Residence,750,483.092,3900000,Umm Ebairiya,25.468814293441394,51.34446945529472
2022-03-03,Al Rayyan,Al Gharrafa,Vacant Land,585,365.257,2300000,Al Gharrafa,24.928100723590358,51.08167176463156
2022-03-03,Al Rayyan,Al Maamoura,Residence,442,651.577,3100000,Al Maamoura,24.928100723590358,51.08167176463156
2022-03-03,Doha,Al Thumama,Vacant Land,2023,307.684,6700000,Al Thumama,25.277967458892473,51.52339248614074
2022-03-03,Al Rayyan,Al Gharrafa,Vacant Land,633,349.888,2384000,Al Gharrafa,24.928100723590358,51.08167176463156
2022-03-03,Al Rayyan,Al Waab,Residential Building,1820,1100.024,21550000,Al Waab,24.928100723590358,51.08167176463156
2022-03-03,Al Wakrah,Al Wakrah,Vacant Land,409,300.008,1320776,Al Wakrah,,
2022-03-03,Umm Salal,Umm Slal Muhammed,Vacant Land,1140,244.48,3000000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2022-03-03,Doha,Madinat Khalifa North,Residence,451,597.376,2900000,Madinat Khalifa North,25.277967458892473,51.52339248614074
2022-03-03,Al Rayyan,Bu Sidra,Residence,626,327.062,2203830,Bu Sidra,24.928100723590358,51.08167176463156
2022-03-03,Al Rayyan,Bu Hamour,Residence,459,485.763,2400000,Bu Hamour,24.928100723590358,51.08167176463156
2022-03-02,Al Khor,Al Khor,Residence,580,352.388,2200000,Al Khor,,
2022-03-02,Al Khor,Al Khor,Residence,426,370.737,1700000,Al Khor,,
2022-03-02,Doha,Umm Al Senaim,Residence,632,440.992,3000000,Umm Al Senaim,25.277967458892473,51.52339248614074
2022-03-02,Doha,Fereej Bin Derhem,Residential Building,540,1634.392,9500000,Fereej Bin Derhem,25.277967458892473,51.52339248614074
2022-03-02,Al Rayyan,Muaither,Vacant Land,1000,241.546,2600000,Muaither,24.928100723590358,51.08167176463156
2022-03-02,Al Wakrah,Al Mashaf,Residence,519,409.23,2286169,Al Mashaf,,
2022-03-02,Al Khor,Al Khor,Vacant Land,490,303.354,1600000,Al Khor,,
2022-03-02,Al Khor,Al Khor,Residence,421,375.14,1700000,Al Khor,,
2022-03-02,Al Khor,Al Khor,Residence,525,283.131,1600000,Al Khor,,
2022-03-02,Doha,Al Thumama 46,Vacant Land,418,422.283,1900000,Al Thumama,25.277967458892473,51.52339248614074
2022-03-02,Doha,Al Thumama 46,Vacant Land,420,420.272,1900000,Al Thumama,25.277967458892473,51.52339248614074
2022-03-02,Al Daayen,Jeryan Jenaihat,Vacant Land,549,236.909,1400000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2022-03-02,Al Khor,Al Khor,Residence,583,350.575,2200000,Al Khor,,
2022-03-02,Al Rayyan,Muraikh,Vacant Land,617,662.512,4400000,Muraikh,24.928100723590358,51.08167176463156
2022-03-02,Al Daayen,Al Kheesa,Vacant Land,525,300.826,1700000,Al Kheesa,25.506442965229745,51.466419091145966
2022-03-02,Al Daayen,Jeryan Jenaihat,Residence,632,698.237,4750000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2022-03-02,Al Wakrah,Al Wukair,Vacant Land,495,243.986,1300000,Al Wukair,,
2022-03-02,Al Wakrah,Al Wukair,Residence,598,419.458,2700000,Al Wukair,,
2022-03-01,Doha,Al Thumama,Residence,464,636.217,3177584,Al Thumama,25.277967458892473,51.52339248614074
2022-03-01,Doha,Umm Ghuwailina,Residential Building,87,1089.199,1020000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2022-03-01,Al Rayyan,Bani Hajer,Residence,900,371.609,3600000,Bani Hajer,24.928100723590358,51.08167176463156
2022-03-01,Al Daayen,Al Ebb,Residence,584,556.777,3500000,Al Ebb,25.506442965229745,51.466419091145966
2022-03-01,Umm Salal,Umm Slal Ali,Residence,537,346.005,2000000,Umm Slal Ali,25.468814293441394,51.34446945529472
2022-03-01,Al Khor,Al Khor,Vacant Land,520,178.658,1000000,Al Khor,,
2022-03-01,Al Rayyan,Al Waab,Vacant Land,1585,455.466,7770683,Al Waab,24.928100723590358,51.08167176463156
2022-03-01,Al Daayen,Umm Qarn,Vacant Land,491,293.276,1550000,Umm Qarn,25.506442965229745,51.466419091145966
2022-03-01,Al Khor,Al Khor,Vacant Land,520,214.39,1200000,Al Khor,,
2022-03-01,Al Rayyan,Al Aziziya,Residence,409,499.719,2200000,Al Aziziya,24.928100723590358,51.08167176463156
2022-03-01,Al Daayen,Al Kheesa,Residence,523,452.965,2550000,Al Kheesa,25.506442965229745,51.466419091145966
2022-02-28,Al Khor,Al Khor,Vacant Land,520,178.658,1000000,Al Khor,,
2022-02-28,Doha,New Slata,Residence,360,477.414,1850000,New Slata,25.277967458892473,51.52339248614074
2022-02-28,Doha,Old Airport,Vacant Land,661,632.466,4500000,Old Airport,25.277967458892473,51.52339248614074
2022-02-28,Doha,Fereej Bin Mahmoud,Vacant Land,371,1061.432,4238770,Fereej Bin Mahmoud,25.277967458892473,51.52339248614074
2022-02-28,Al Rayyan,New Al Rayyan,Residence,1104,252.452,3000000,New Al Rayyan,24.928100723590358,51.08167176463156
2022-02-28,Al Rayyan,Al Aziziya,Residence,451,463.996,2250000,Al Aziziya,24.928100723590358,51.08167176463156
2022-02-28,Al Rayyan,Umm Al Senaim,Vacant Land,1280,341.75,4708598,Umm Al Senaim,24.928100723590358,51.08167176463156
2022-02-28,Al Wakrah,Al Wakrah,Vacant Land,473,300.007,1527449,Al Wakrah,,
2022-02-28,Al Wakrah,Al Wukair,Vacant Land,1500,140.003,2260493,Al Wukair,,
2022-02-28,Al Rayyan,Bu Sidra,Vacant Land,40143,208.285,90000000,Bu Sidra,24.928100723590358,51.08167176463156
2022-02-28,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,968,307.115,3200000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2022-02-28,Al Wakrah,Al Mashaf,Vacant Land,500,241.546,1300000,Al Mashaf,,
2022-02-28,Al Khor,Al Dakhira,Residence,606,383.26,2500000,Al Dakhira,,
2022-02-28,Doha,New Slata,Residence,498,438.394,2350000,New Slata,25.277967458892473,51.52339248614074
2022-02-28,Doha,Madinat Khalifa South,Residence,607,428.544,2800000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2022-02-28,Al Rayyan,Al Aziziya,Residence,629,354.476,2400000,Al Aziziya,24.928100723590358,51.08167176463156
2022-02-28,Al Rayyan,Ain Khalid,Residence,808,517.401,4500000,Ain Khalid,24.928100723590358,51.08167176463156
2022-02-28,Al Rayyan,Gharrafat Al Rayyan,Residence,600,402.576,2600000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2022-02-28,Al Daayen,Simaisma,Vacant Land,450,309.674,1500000,Simaisma,25.506442965229745,51.466419091145966
2022-02-27,Umm Salal,Al Kharaitiyat,Residence,479,349.111,1800000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2022-02-27,Umm Salal,Umm Slal Muhammed,Vacant Land,766,242.565,2000000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2022-02-27,Umm Salal,Umm Ebairiya,Vacant Land,1500,200.205,3232515,Umm Ebairiya,25.468814293441394,51.34446945529472
2022-02-27,Doha,Al Thumama,Residence,438,500.012,2357373,Al Thumama,25.277967458892473,51.52339248614074
2022-02-27,Al Rayyan,New Al Rayyan,Vacant Land,1232,263.927,3500000,New Al Rayyan,24.928100723590358,51.08167176463156
2022-02-27,Al Rayyan,Al Maamoura,Residence,448,860.59,4150000,Al Maamoura,24.928100723590358,51.08167176463156
2022-02-27,Al Daayen,Al Sakhama,Vacant Land,554,243.156,1450000,Al Sakhama,25.506442965229745,51.466419091145966
2022-02-27,Al Daayen,Al Ebb,Vacant Land,562,384.999,2329000,Al Ebb,25.506442965229745,51.466419091145966
2022-02-27,Al Wakrah,Al Wukair,Vacant Land,600,230.0,1485432,Al Wukair,,
2022-02-27,Al Wakrah,Al Wukair,Vacant Land,769,230.0,1903828,Al Wukair,,
2022-02-27,Umm Salal,Umm Al Amad,Residence,482,558.956,2900000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-27,Umm Salal,Umm Al Amad,Residence,198,351.903,750000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-27,Umm Salal,Umm Slal Muhammed,Residence,970,344.792,3600000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2022-02-27,Al Khor,Al Khor,Residence,384,408.867,1690000,Al Khor,,
2022-02-27,Doha,Old Airport,Residence,974,562.755,5900000,Old Airport,25.277967458892473,51.52339248614074
2022-02-27,Al Rayyan,Al Maamoura,Residence,450,660.638,3200000,Al Maamoura,24.928100723590358,51.08167176463156
2022-02-27,Al Daayen,Al Sakhama,Vacant Land,851,245.629,2250000,Al Sakhama,25.506442965229745,51.466419091145966
2022-02-27,Umm Salal,Al Kharaitiyat,Residence,439,592.543,2800000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2022-02-27,Umm Salal,Umm Al Amad,Residence,600,433.544,2800000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-27,Doha,Old Airport,Residential Building,665,1243.354,8900000,Old Airport,25.277967458892473,51.52339248614074
2022-02-27,Doha,Dahl Al Hamam,Residence,663,420.372,3000000,Dahl Al Hamam,25.277967458892473,51.52339248614074
2022-02-27,Al Rayyan,Mebaireek,Residence,1074,292.374,3380000,Mebaireek,24.928100723590358,51.08167176463156
2022-02-24,Doha,Al Sadd,Residential Building,452,863.251,4200000,Al Sadd,25.277967458892473,51.52339248614074
2022-02-24,Doha,Al Matar Al Qadeem,Vacant Land,453,492.197,2400000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-24,Al Daayen,Umm Qarn,Residence,465,499.475,2500000,Umm Qarn,25.506442965229745,51.466419091145966
2022-02-24,Al Rayyan,Bu Hamour,Residence,600,541.93,3500000,Bu Hamour,24.928100723590358,51.08167176463156
2022-02-24,Al Khor,Al Khor,Vacant Land,520,214.39,1200000,Al Khor,,
2022-02-24,Doha,Al Matar Al Qadeem,Residential Building,389,716.47,3000000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-24,Doha,Umm Ghuwailina,Residential Building,425,929.023,4250000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2022-02-24,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,640,341.126,2350000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2022-02-23,Doha,Fereej Bin Omran,Residential Building,621,1136.968,7600000,Fereej Bin Omran,25.277967458892473,51.52339248614074
2022-02-23,Al Rayyan,Izghawa,Vacant Land,675,302.793,2200000,Izghawa,24.928100723590358,51.08167176463156
2022-02-23,Al Rayyan,Al Thumaid,Vacant Land,910,347.107,3400000,Al Thumaid,24.928100723590358,51.08167176463156
2022-02-23,Al Wakrah,Al Wukair,Vacant Land,1000,213.582,2299000,Al Wukair,,
2022-02-23,Umm Salal,Umm Al Amad,Vacant Land,2570,151.825,4200000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-23,Umm Salal,Umm Al Amad,Vacant Land,3260,156.737,5500000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-23,Al Khor,Al Khor,Vacant Land,509,271.061,1485108,Al Khor,,
2022-02-23,Doha,Al Matar Al Qadeem,Residential Building,506,1101.608,6000000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-23,Doha,Umm Lekhba,Residence,1543,662.297,11000000,Umm Lekhba,25.277967458892473,51.52339248614074
2022-02-23,Doha,Nuaija,Residence,450,379.867,1840000,Nuaija,25.277967458892473,51.52339248614074
2022-02-23,Al Rayyan,Muaither,Vacant Land,615,256.803,1700000,Muaither,24.928100723590358,51.08167176463156
2022-02-23,Al Rayyan,Muaither,Residence,445,417.538,2000000,Muaither,24.928100723590358,51.08167176463156
2022-02-23,Umm Salal,Umm Al Amad,Vacant Land,4500,202.32,9800000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-23,Doha,Al Thumama,Residence,450,805.153,3900000,Al Thumama,25.277967458892473,51.52339248614074
2022-02-23,Doha,Al Maamoura,Residence,527,493.598,2800000,Al Maamoura,25.277967458892473,51.52339248614074
2022-02-23,Al Rayyan,Al Thumaid,Vacant Land,913,407.02,4000000,Al Thumaid,24.928100723590358,51.08167176463156
2022-02-23,Al Rayyan,Al Sheehaniya,Residence,1520,238.368,3900000,Al Sheehaniya,24.928100723590358,51.08167176463156
2022-02-23,Al Rayyan,Al Gharrafa,Residence,585,577.644,3637389,Al Gharrafa,24.928100723590358,51.08167176463156
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,449,200.205,967599,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,600,200.205,1293006,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,612,200.205,1318866,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Al Rayyan,Fereej Al Manaseer,Residence,900,443.866,4300000,Fereej Al Manaseer,24.928100723590358,51.08167176463156
2022-02-22,Al Shamal,Aba Al Dalouf,Vacant Land,600,126.966,820000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2022-02-22,Al Daayen,Al Sakhama,Residence,7565,245.611,20000000,Al Sakhama,25.506442965229745,51.466419091145966
2022-02-22,Al Daayen,Umm Qarn,Residence,581,463.712,2900000,Umm Qarn,25.506442965229745,51.466419091145966
2022-02-22,Al Daayen,Umm Qarn,Residence,600,487.737,3150000,Umm Qarn,25.506442965229745,51.466419091145966
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,542,200.205,1168015,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,616,200.205,1327486,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,1760,200.205,3792818,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Slal Ali,Vacant Land,511,227.256,1250000,Umm Slal Ali,25.468814293441394,51.34446945529472
2022-02-22,Doha,Al Thumama,Residence,598,403.923,2600000,Al Thumama,25.277967458892473,51.52339248614074
2022-02-22,Doha,Al Matar Al Qadeem,Residence,974,519.833,5450000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-22,Doha,Al Matar Al Qadeem,Vacant Land,217,642.182,1500000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-22,Al Rayyan,Muaither,Apartment Complex,3196,465.093,16000000,Muaither,24.928100723590358,51.08167176463156
2022-02-22,Al Wakrah,Al Wukair,Residence,479,504.271,2600000,Al Wukair,,
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,450,200.205,969755,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,623,200.205,1342571,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Al Amad,Vacant Land,1937,200.205,4174254,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-22,Umm Salal,Umm Slal Ali,Residence,587,522.279,3300000,Umm Slal Ali,25.468814293441394,51.34446945529472
2022-02-22,Doha,Duhail,Residence,723,513.982,4000000,Duhail,25.277967458892473,51.52339248614074
2022-02-22,Al Rayyan,Al Waab,Residential Building,1046,968.102,10900000,Al Waab,24.928100723590358,51.08167176463156
2022-02-22,Al Daayen,Umm Qarn,Vacant Land,550,295.598,1750000,Umm Qarn,25.506442965229745,51.466419091145966
2022-02-21,Umm Salal,Umm Ebairiya,Vacant Land,616,140.258,930000,Umm Ebairiya,25.468814293441394,51.34446945529472
2022-02-21,Doha,New Slata,Residence,469,435.789,2200000,New Slata,25.277967458892473,51.52339248614074
2022-02-21,Doha,Al Jebailat,Residence,800,696.767,6000000,Al Jebailat,25.277967458892473,51.52339248614074
2022-02-21,Al Rayyan,Ain Khalid,Vacant Land,3000,340.642,11000000,Ain Khalid,24.928100723590358,51.08167176463156
2022-02-21,Al Daayen,Lusail,Residence,911,145.0,1421871,Lusail,25.506442965229745,51.466419091145966
2022-02-21,Doha,New Slata,Residence,465,439.538,2200000,New Slata,25.277967458892473,51.52339248614074
2022-02-21,Doha,Al Jebailat,Residence,456,651.946,3200000,Al Jebailat,25.277967458892473,51.52339248614074
2022-02-21,Al Rayyan,Al Luqta,Residence,886,419.423,4000000,Al Luqta,24.928100723590358,51.08167176463156
2022-02-21,Al Rayyan,Rawdat Aba Al Heeran,Vacant Land,1192,342.928,4400000,Rawdat Aba Al Heeran,24.928100723590358,51.08167176463156
2022-02-21,Al Rayyan,Ain Khalid,Residence,450,516.124,2500000,Ain Khalid,24.928100723590358,51.08167176463156
2022-02-21,Al Rayyan,Muaither,Residence,662,382.415,2725000,Muaither,24.928100723590358,51.08167176463156
2022-02-21,Doha,Al Matar Al Qadeem,Multi-purpose Building,1233,678.119,9000000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-21,Doha,Al Matar Al Qadeem,Residential Building,522,1299.208,7300000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-21,Al Rayyan,Al Thumaid,Vacant Land,910,331.794,3250000,Al Thumaid,24.928100723590358,51.08167176463156
2022-02-21,Al Wakrah,Al Wukair,Residence,273,170.463,500000,Al Wukair,,
2022-02-20,Al Khor,Al Dakhira,Vacant Land,467,194.956,980000,Al Dakhira,,
2022-02-20,Doha,Al Matar Al Qadeem,Residence,558,790.835,4750000,Al Matar Al Qadeem,25.277967458892473,51.52339248614074
2022-02-20,Doha,Dahl Al Hamam,Vacant Land,1159,272.535,3400000,Dahl Al Hamam,25.277967458892473,51.52339248614074
2022-02-20,Doha,Nuaija44,Residence,970,402.257,4200000,Nuaija,25.277967458892473,51.52339248614074
2022-02-20,Al Rayyan,Al Maamoura,Residence,420,486.631,2200000,Al Maamoura,24.928100723590358,51.08167176463156
2022-02-20,Al Daayen,Leabaib,Residence,409,499.719,2200000,Leabaib,25.506442965229745,51.466419091145966
2022-02-20,Umm Salal,Umm Al Amad,Vacant Land,678,257.194,1877000,Umm Al Amad,25.468814293441394,51.34446945529472
2022-02-20,Umm Salal,Umm Slal Muhammed,Residence,633,308.207,2100000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2022-02-20,Al Rayyan,Muraikh,Residence,393,484.605,2050000,Muraikh,24.928100723590358,51.08167176463156
